id,sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
1,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
2,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
3,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
4,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
5,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7
6,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
7,F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
8,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
9,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
10,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
11,F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
12,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
13,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
14,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
15,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
16,M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
17,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7
18,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
19,M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7
20,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
21,M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11
22,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
23,F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
24,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
25,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
26,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11
27,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11
28,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
29,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15
30,M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11
31,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
32,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
33,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
34,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
35,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
36,M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8
37,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
38,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
39,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11
40,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9
41,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
42,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
43,I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
44,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
45,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
46,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7
47,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9
48,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
49,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6
50,F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9
51,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
52,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
53,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
54,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
55,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7
56,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
57,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
58,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
59,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
60,F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7
61,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
62,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9
63,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
64,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
65,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8
66,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
67,F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
68,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
69,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
70,I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6
71,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
72,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
73,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
74,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11
75,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13
76,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15
77,M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9
78,F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10
79,F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11
80,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
81,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9
82,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12
83,F,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16
84,M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
85,M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14
86,F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12
87,M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13
88,M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
89,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
90,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12
91,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15
92,M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12
93,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13
94,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
95,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
96,M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14
97,M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9
98,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
99,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
100,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
101,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7
102,M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15
103,M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15
104,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10
105,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12
106,F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12
107,F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11
108,F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10
109,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
110,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9
111,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
112,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
113,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9
114,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
115,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11
116,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11
117,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
118,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
119,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
120,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8
121,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
122,I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
123,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
124,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
125,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
126,I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
127,I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
128,I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8
129,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
130,M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
131,M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17
132,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
133,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7
134,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
135,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7
136,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
137,F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
138,M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9
139,F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
140,M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9
141,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
142,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
143,M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
144,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
145,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
146,F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10
147,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
148,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9
149,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5
150,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
151,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
152,F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9
153,F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10
154,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
155,F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12
156,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
157,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13
158,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
159,F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
160,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
161,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
162,F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13
163,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12
164,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
165,F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16
166,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
167,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
168,F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20
169,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14
170,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
171,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
172,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7
173,M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8
174,F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8
175,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5
176,I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7
177,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
178,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
179,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4
180,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11
181,M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14
182,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21
183,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10
184,F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10
185,F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12
186,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
187,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
188,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10
189,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
190,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9
191,M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13
192,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
193,M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14
194,I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
195,F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10
196,M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12
197,F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
198,M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16
199,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
200,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
201,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
202,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13
203,F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12
204,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
205,M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
206,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
207,I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9
208,I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8
209,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13
210,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7
211,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
212,M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7
213,F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
214,M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9
215,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
216,M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10
217,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
218,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
219,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
220,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
221,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
222,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
223,F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9
224,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
225,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10
226,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
227,F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7
228,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
229,F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
230,F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15
231,M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13
232,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14
233,M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
234,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
235,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
236,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9
237,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
238,I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3
239,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
240,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
241,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
242,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
243,I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5
244,I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
245,I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8
246,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
247,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13
248,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
249,I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7
250,I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7
251,I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
252,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
253,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
254,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15
255,M,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15
256,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15
257,M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19
258,M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
259,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15
260,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
261,F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11
262,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
263,M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11
264,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4
265,M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6
266,F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11
267,M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14
268,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
269,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
270,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
271,F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22
272,M,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16
273,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14
274,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
275,M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13
276,M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22
277,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12
278,M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18
279,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20
280,F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,11
281,F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
282,I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7
283,F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9
284,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
285,M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14
286,F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10
287,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
288,F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17
289,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
290,F,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10
291,M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17
292,F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12
293,M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15
294,F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,19
295,M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26
296,I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6
297,I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6
298,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4
299,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
300,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9
301,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9
302,F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13
303,M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8
304,M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6
305,F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10
306,I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4
307,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3
308,M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13
309,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14
310,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
311,F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21
312,M,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14
313,M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19
314,F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23
315,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23
316,I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,8
317,F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14
318,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10
319,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18
320,I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6
321,I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5
322,I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4
323,M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11
324,I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5
325,M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7
326,I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,7
327,I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7
328,M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12
329,M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8
330,I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,8
331,M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12
332,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8
333,I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10
334,M,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,9
335,F,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,8
336,M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815,10
337,M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,10
338,M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8
339,F,0.565,0.45,0.165,0.887,0.37,0.239,0.249,11
340,M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10
341,M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9
342,F,0.625,0.485,0.15,1.0945,0.531,0.261,0.296,10
343,M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
